rosterId,recPts,recDrops,scheduleId,recYacPerCatch,recTDs,recYdsPerGame,weekIndex,recYds,seasonIndex,recCatchPct,recCatches,teamId,stageIndex,recLongest,recYdsPerCatch,recToPct,recYdsAfterCatch,fullName,statId
551028765,0,0,543031572,6.5,1,57.3333,0,57,3,100,6,758644762,1,29,9.5,0,39,I.Pacheco,537791308
551029209,0,0,543031572,5.5,1,54.5,0,92,3,100,4,758644762,1,51,23,0,22,J.Smith-Njigba,537791801
551028578,0,0,543031572,9,0,41.3333,0,35,3,100,3,758644762,1,18,11.6667,0,27,D.Mooney,537791259
551028439,0,0,543031572,3.625,1,79.1667,0,90,3,100,8,758644762,1,21,11.25,0,29,T.McBride,537790366
551028519,0,0,543031572,4,0,59.1667,0,45,3,100,2,758644762,1,25,22.5,0,8,B.Melton,537791986
551029778,0,0,543031572,7,0,11,0,17,3,100,2,758644767,1,9,8.5,0,14,D.Brothers,537791622
551029335,0,0,543031572,4.75,0,76.8,0,74,3,100,4,758644767,1,28,18.5,0,19,G.Chambers,537789774
551026731,0,0,543031572,8.5,1,32.8,0,24,3,100,2,758644767,1,21,12,0,17,D.Langham,537795126
551029751,0,0,543031572,12.5,0,20.2,0,27,3,100,2,758644767,1,20,13.5,0,25,B.Tharpe,537792708
551028732,0,0,543031572,12,0,6.4,0,15,3,100,1,758644767,1,15,15,0,12,J.Oliver,537793561
551027249,0,0,543031573,12,0,94.5,0,84,3,100,3,758644749,1,39,28,0,36,J.Cowing,537788652
551029601,0,0,543031573,8.66667,1,38.1667,0,44,3,100,3,758644749,1,30,14.6667,0,26,J.Whittington,537788783
551027636,0,0,543031573,3.4,0,17,0,31,3,100,5,758644749,1,13,6.2,0,17,J.Gibbs,537790883
551027543,0,0,543031573,3.33333,1,99.5,0,61,3,100,3,758644749,1,30,20.3333,0,10,Z.Flowers,537793382
551026887,0,0,543031573,19.4,1,145.667,0,207,3,100,5,758644749,1,67,41.4,0,97,G.Gerard,537792978
551029729,0,1,543031573,8.8,0,32.6667,0,51,3,83.3333,5,758644739,1,28,10.2,0,44,J.Wright,537791880
551027267,0,0,543031573,3.66667,1,5.33333,0,24,3,100,3,758644739,1,13,8,0,11,D.Culp,537793656
551029085,0,0,543031573,2,0,62.1667,0,19,3,100,3,758644739,1,15,6.33333,0,6,A.Schwartz,537791084
551027296,0,0,543031573,3,0,2.33333,0,5,3,100,1,758644739,1,5,5,0,3,C.Doolittle,537793713
551029386,0,0,543031573,1.33333,0,79.5,0,51,3,100,3,758644739,1,45,17,0,4,T.Thornton,537526276
551029479,0,0,543031573,8.6,1,46.6667,0,71,3,100,5,758644739,1,28,14.2,0,43,C.Myers,537791351
551029666,0,0,543031576,0,1,39.6667,0,6,3,100,1,758644737,1,6,6,0,0,G.Wilson,537790156
551028836,0,0,543031576,3,0,58.8333,0,31,3,100,2,758644737,1,20,15.5,0,6,G.Pickens,537790102
551029674,0,1,543031576,4,0,60.3333,0,76,3,83.3333,5,758644737,1,30,15.2,0,20,R.Wilson,537792137
551027870,0,0,543031576,5,1,22.6667,0,57,3,100,3,758644737,1,35,19,0,15,E.Higgins,537791515
551028424,0,0,543031576,7.5,0,15.1667,0,21,3,100,2,758644737,1,15,10.5,0,15,E.Cooper,537791956
551029866,0,0,543031576,0,0,19.5,0,8,3,100,1,758644737,1,8,8,0,0,B.Andrews,537526945
551028432,0,1,543031576,5,0,8.33333,0,37,3,66.6667,2,758644750,1,24,18.5,0,10,M.Mayer,537792339
551029853,0,2,543031576,12,0,50.8333,0,8,3,33.3333,1,758644750,1,8,8,0,12,D.Dailey,537526288
