rosterId,rushBrokenTackles,rushYdsPerGame,rushPts,scheduleId,rushToPct,rushLongest,weekIndex,seasonIndex,rushYdsPerAtt,rushYdsAfterContact,rushAtt,stageIndex,rushTDs,teamId,rush20PlusYds,rushFum,rushYds,fullName,statId
551029827,1,0,0,543031574,0,0,0,3,0,0,0,1,0,758644753,0,0,0,E.Smith,537792032
551028472,0,24.6,0,543031574,0,14,0,3,4.35714,14,14,1,0,758644753,0,0,61,R.Burton,537790555
551029111,2,40.6,0,543031574,0,10,0,3,4,7,6,1,2,758644753,0,0,24,T.Thorne,537793990
551028990,0,29.25,0,543031574,0,9,0,3,2.75,14,12,1,0,758644759,0,0,33,B.Robinson,537789853
551028353,0,-2.33333,0,543031574,0,0,0,3,-1,0,1,1,0,758644759,0,0,-1,J.Love,537791425
551029706,1,0,0,543031574,0,0,0,3,0,0,0,1,0,758644759,0,0,0,J.Woods,537792940
551029823,1,-0.333333,0,543031574,0,0,0,3,0,0,0,1,0,758644759,0,0,0,A.Childress,537791903
551028648,1,0.166667,0,543031574,0,1,0,3,1,1,1,1,0,758644759,0,0,1,M.Nabers,537790443
551029867,1,0,0,543031574,0,0,0,3,0,0,0,1,0,758644759,0,1,0,J.Campbell,537526372
551026956,1,0,0,543031583,0,0,0,3,0,0,0,1,0,758644772,0,0,0,B.Bowers,537794356
551028446,0,20.2,0,543031583,0,13,0,3,9.33333,0,3,1,0,758644772,0,0,28,J.McCarthy,537794283
551029177,1,0,0,543031583,0,0,0,3,0,0,0,1,0,758644772,0,0,0,D.Smith,537789160
551028440,0,17.2,0,543031583,0,4,0,3,4,0,1,1,0,758644772,0,0,4,C.McCaffrey,537791190
551029833,1,0,0,543031583,0,0,0,3,0,0,0,1,0,758644772,0,0,0,J.Levine,537794682
551029534,1,78.6,0,543031583,0,24,0,3,5.1875,19,16,1,0,758644772,1,0,83,H.Golden,537792786
551027061,1,0,0,543031583,0,0,0,3,0,0,0,1,0,758644772,0,1,0,T.Burks,537526822
551027970,0,40,0,543031583,0,14,0,3,10,1,3,1,0,758644752,0,0,30,J.Hurts,537791866
551029807,1,0,0,543031583,0,0,0,3,0,0,0,1,0,758644752,0,0,0,J.Clark,537526406
551027073,3,51.4,0,543031583,0,18,0,3,5.26667,38,15,1,1,758644752,0,0,79,K.Woodward,537791782
551029595,0,3.8,0,543031583,0,4,0,3,2,0,3,1,1,758644752,0,0,6,Z.White,537794275
551027439,0,3.5,0,543031583,0,8,0,3,2.33333,4,3,1,0,758644752,0,0,7,C.Edwards-Helaire,537788527
551027967,0,-1.5,0,543031583,0,0,0,3,-1,0,2,1,0,758644752,0,0,-2,T.Huntley,537793908
551029110,2,0,0,543031583,0,0,0,3,0,0,0,1,0,758644752,0,0,0,K.Shakir,537794525
551028285,0,15.4,0,543031577,0,8,0,3,8,0,2,1,0,758644740,0,0,16,T.Lawrence,537789423
551026999,1,24.6667,0,543031577,0,6,0,3,2.85714,9,7,1,0,758644740,0,0,20,J.Brooks,537789133
551028455,1,4.4,0,543031577,0,0,0,3,0,0,0,1,0,758644740,0,0,0,L.McConkey,537789744
551026704,0,0,0,543031577,0,0,0,3,0,0,0,1,0,758644740,0,1,0,J.Addison,537788630
551027908,3,0,0,543031577,0,0,0,3,0,0,0,1,0,758644740,0,0,0,C.Foster,537792551
551028936,2,0,0,543031577,0,0,0,3,0,0,0,1,0,758644740,0,0,0,J.Reed,537788613
551027526,0,9,0,543031577,0,10,0,3,3.4,5,5,1,1,758644764,0,0,17,J.Fields,537794463
551028336,3,66.4,0,543031577,0,35,0,3,9.63636,23,11,1,3,758644764,1,0,106,M.Lloyd,537791761
551027601,1,0,0,543031577,0,0,0,3,0,0,0,1,0,758644764,0,0,0,R.Gage Jr,537794998
551029418,0,4.2,0,543031577,0,11,0,3,11,5,1,1,0,758644764,0,0,11,T.Tracy Jr,537526876
551027150,1,0.2,0,543031577,0,1,0,3,1,1,1,1,0,758644764,0,0,1,J.Chase,537790701
551029656,1,45.1667,0,543031548,0,8,0,3,4.28571,1,7,1,0,758644768,0,0,30,M.Willis,537791110
551028840,1,30.1667,0,543031548,0,10,0,3,4.625,1,16,1,1,758644768,0,0,74,D.Pierce,537793822
551029058,0,1.33333,0,543031548,0,5,0,3,4,0,2,1,0,758644768,0,0,8,D.Samuel Sr,537789176
551027008,0,0,0,543031548,0,0,0,3,0,0,0,1,0,758644768,0,1,0,A.Brown,537789759
551026834,0,6.16667,0,543031548,0,8,0,3,5.75,0,4,1,0,758644768,0,0,23,S.Barkley,537794993
551026695,0,51,0,543031548,0,6,0,3,0.875,0,8,1,1,758644757,0,0,7,D.Achane,537791838
551028314,1,10.6667,0,543031548,0,6,0,3,3.5,0,8,1,0,758644757,0,0,28,W.Levis,537790666
551027186,0,0.833333,0,543031548,0,4,0,3,1,0,2,1,0,758644757,0,0,2,D.Little,537794614
551027847,1,0,0,543031548,0,0,0,3,0,0,0,1,0,758644757,0,1,0,H.Henry,537792316
551026742,0,3.66667,0,543031548,0,0,0,3,-1,0,1,1,0,758644757,0,0,-1,T.Allgeier,537791188
