team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Lions,DET,18,WR,551028302,Xavier Legette,3,0,10156,17,2,20.70,8,100.00,0,17,1,21,67,2.62,8.38,60.43
Lions,DET,18,HB,551028990,Bijan Robinson,4,0,2613,20,9,106.60,32,100.00,0,70,1,283,312,8.84,9.75,22.65
Lions,DET,18,HB,551026903,Tank Bigsby,4,0,2539,28,3,11.90,6,100.00,0,12,0,25,40,4.17,6.67,6.67
Lions,DET,18,TE,551029706,Jelani Woods,5,0,2050,87,6,32.60,13,100.00,0,46,1,45,245,3.46,18.85,30.14
Lions,DET,18,WR,551028042,Justin Jefferson,7,0,385,18,5,9.40,20,84.33,3,88,2,109,332,5.45,16.60,80.88
Lions,DET,18,WR,551027884,Tyreek Hill,11,0,8052,84,3,9.60,4,66.67,1,24,0,6,56,1.50,14.00,9.22
Lions,DET,18,WR,551027226,Amari Cooper,12,0,7060,89,2,15.60,4,100.00,0,23,1,10,56,2.50,14.00,8.36
Packers,GB,19,WR,551029871,Chris Brown,0,0,4089,84,6,16.60,16,96.67,1,18,0,93,151,5.81,9.44,8.14
Packers,GB,19,HB,551028064,Montrell Barclay,0,0,3761,1,7,57.50,9,82.14,2,19,1,49,72,5.44,8.00,3.13
Packers,GB,19,WR,551028922,Alex Amos,2,0,3845,83,1,1.70,1,100.00,0,7,0,3,7,3.00,7.00,1.17
Packers,GB,19,WR,551027197,Keon Coleman,3,0,10038,0,11,134.20,49,91.87,5,60,10,330,782,6.73,15.96,69.57
Packers,GB,19,WR,551028441,Luke McCaffrey,3,0,10166,12,13,160.90,91,96.89,4,81,11,599,1278,6.58,14.04,105.81
Packers,GB,19,HB,551027221,James Cook,5,0,1304,4,9,28.00,14,100.00,0,25,2,89,134,6.36,9.57,9.56
Packers,GB,19,TE,551029037,Jeremy Ruckert,5,0,1932,82,1,1.20,1,100.00,0,2,0,1,2,1.00,2.00,0.33
Packers,GB,19,WR,551027871,Tee Higgins,7,0,351,89,2,5.70,3,100.00,0,16,0,9,27,3.00,9.00,4.75
Packers,GB,19,TE,551028237,Dawson Knox,8,0,9546,88,6,23.90,7,100.00,0,15,2,23,49,3.29,7.00,3.78
Packers,GB,19,WR,551027662,Chris Godwin,10,0,8567,89,6,40.00,11,100.00,0,54,2,84,170,7.64,15.45,7.45
Packers,GB,19,TE,551028229,George Kittle,10,0,8622,85,12,96.60,64,92.50,5,28,7,334,721,5.22,11.27,64.73
Panthers,CAR,20,HB,551029223,Dom Jennings,0,0,3400,37,1,1.50,1,100.00,0,13,0,16,13,16.00,13.00,1.00
Panthers,CAR,20,TE,551027511,Kenny Franks,2,0,10354,14,2,4.90,2,100.00,0,20,0,17,29,8.50,14.50,2.37
Panthers,CAR,20,WR,551028302,Xavier Legette,3,0,10156,17,5,67.80,14,86.67,2,70,5,103,471,7.36,33.64,69.83
Panthers,CAR,20,WR,551029209,Jaxon Smith-Njigba,4,0,2401,84,6,54.20,26,100.00,0,51,1,105,327,4.04,12.58,59.83
Panthers,CAR,20,WR,551028546,Marvin Mims Jr,4,0,2312,18,6,49.90,21,89.17,3,45,2,125,370,5.95,17.62,63.06
Panthers,CAR,20,TE,551028244,Tucker Kraft,4,0,2279,81,8,25.20,8,93.75,1,45,2,51,152,6.38,19.00,13.05
Panthers,CAR,20,WR,551028519,Bo Melton,5,0,1850,82,10,99.40,27,96.67,1,70,5,222,586,8.22,21.70,59.22
Panthers,CAR,20,HB,551028765,Isiah Pacheco,5,0,1875,44,13,112.60,57,100.00,0,48,2,571,560,10.02,9.82,51.94
Panthers,CAR,20,TE,551028439,Trey McBride,5,6,1830,85,13,209.90,80,96.89,3,46,22,395,1008,4.94,12.60,81.16
Panthers,CAR,20,WR,551028578,Darnell Mooney,7,0,469,1,11,118.80,28,91.36,3,78,7,260,488,9.29,17.43,36.71
Patriots,NE,21,TE,551027245,Jose Short,0,0,3704,81,5,21.40,5,100.00,0,48,1,68,136,13.60,27.20,10.43
Patriots,NE,21,HB,551029707,Ron Thomas,1,0,3926,21,10,66.40,25,90.83,3,28,1,120,208,4.80,8.32,18.70
Patriots,NE,21,HB,551027236,Blake Corum,3,0,10043,22,2,5.70,3,100.00,0,21,0,15,27,5.00,9.00,4.50
Patriots,NE,21,WR,551028862,Ja'Lynn Polk,3,0,10210,1,6,16.80,8,83.33,1,27,0,27,88,3.38,11.00,4.50
Patriots,NE,21,WR,551029667,Johnny Wilson,3,0,10301,89,12,103.40,31,83.33,6,48,7,92,396,2.97,12.77,26.71
Patriots,NE,21,WR,551028795,Ricky Pearsall,3,0,10206,14,13,153.30,52,97.36,2,73,11,364,1037,7.00,19.94,78.26
Patriots,NE,21,WR,551028703,Rome Odunze,3,0,10199,15,12,64.10,29,97.92,1,67,5,112,508,3.86,17.52,31.61
Patriots,NE,21,TE,551028100,Theo Johnson,3,11,10130,87,13,125.60,48,91.41,7,58,7,324,762,6.75,15.88,69.92
Raiders,LV,22,TE,551027233,Damien Carmichael,0,0,10354,89,13,71.80,37,87.50,5,94,5,237,636,6.41,17.19,42.63
Raiders,LV,22,HB,551026724,Demario Harrison,0,0,3942,33,1,1.20,1,100.00,0,2,0,4,2,4.00,2.00,1.00
Raiders,LV,22,TE,551028341,Nick Arnold,2,0,3673,87,5,10.60,4,80.00,1,7,1,9,15,2.25,3.75,1.55
Raiders,LV,22,HB,551028336,MarShawn Lloyd,3,0,10161,32,11,82.70,40,97.73,1,25,2,279,287,6.98,7.18,24.59
Raiders,LV,22,WR,551027577,Troy Franklin,3,3,10077,16,10,114.30,43,100.00,0,41,5,205,626,4.77,14.56,79.04
Raiders,LV,22,HB,551029418,Tyrone Tracy Jr,3,0,10268,38,4,24.50,19,100.00,0,30,2,130,196,6.84,10.32,9.19
Raiders,LV,22,WR,551028036,Rakim Jarrett,4,0,4501,86,1,1.90,2,100.00,0,3,0,0,-1,0.00,-0.50,-0.17
Raiders,LV,22,WR,551027150,Ja'Marr Chase,6,0,1370,1,13,85.60,33,97.44,1,77,5,200,712,6.06,21.58,44.13
Raiders,LV,22,TE,551028726,Albert Okwuegbunam,7,0,490,85,7,22.90,8,100.00,0,37,1,37,89,4.62,11.12,7.38
Raiders,LV,22,WR,551027304,Gabe Davis,7,0,238,11,12,72.20,32,96.67,2,80,5,318,716,9.94,22.38,41.24
Raiders,LV,22,WR,551027601,Russell Gage Jr,9,0,9779,6,8,54.90,18,84.38,4,48,1,77,346,4.28,19.22,20.91
Rams,LAR,23,WR,551029855,Nick McClellan,0,0,3845,85,10,142.80,55,88.42,7,77,8,309,938,5.62,17.05,92.35
Rams,LAR,23,TE,551028529,Ross Norwood,0,0,3869,83,11,95.70,55,90.23,7,44,7,228,846,4.15,15.38,70.74
Rams,LAR,23,TE,551028088,Ben Thompson,1,0,3362,81,3,21.00,11,95.24,1,25,0,40,100,3.64,9.09,29.86
Rams,LAR,23,WR,551029850,Lindsey Hurts,1,0,3809,86,2,45.30,13,100.00,0,40,2,72,203,5.54,15.62,82.25
Rams,LAR,23,HB,551026918,Bruce Bright,2,0,3937,13,11,80.80,37,95.45,2,42,2,242,390,6.54,10.54,21.24
Rams,LAR,23,FB,551029648,Chet Chamberlain,2,0,3370,39,3,2.00,3,100.00,0,4,0,5,2,1.67,0.67,0.58
Rams,LAR,23,WR,551029814,Cortney Brownlee,2,0,10349,10,2,0.00,1,50.00,1,19,0,0,19,0.00,19.00,1.46
Rams,LAR,23,WR,551029799,Dwayne Nance,2,0,3810,84,5,31.40,10,100.00,0,35,1,19,154,1.90,15.40,21.35
