team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Bills,BUF,2,ROLB,551027680,Justin Hills,0,0,3937,56,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,LE,551027853,George Taylor,1,0,10352,96,3,3.00,0,0,0,0,0,0,0.50,0,0,2.00
Bills,BUF,2,CB,551027694,Kendrick Ryans,1,0,3367,14,11,40.00,0,7,1,0,2,253,2.00,0,0,27.00
Bills,BUF,2,DT,551027504,Kevin Roundtree,1,0,3480,74,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,FS,551027545,Tremaine Jones,1,0,3965,28,13,54.00,2,9,0,1,5,315,0.00,0,1,33.00
Bills,BUF,2,LOLB,551026844,Tyler Olson,1,0,3370,49,5,10.00,3,0,0,0,0,0,0.50,0,0,9.00
Bills,BUF,2,CB,551028377,Leo Jackson,2,0,3349,3,8,33.00,3,3,1,0,3,95,1.00,0,0,19.00
Bills,BUF,2,CB,551027769,Daequan Hardy,3,0,10099,37,2,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bills,BUF,2,CB,551028965,Decamerion Richardson,3,0,10227,38,4,10.00,5,2,0,0,0,0,0.00,0,0,10.00
Bills,BUF,2,SS,551028727,Kitan Oladapo,3,0,10201,26,6,14.00,0,3,0,0,0,0,2.50,0,0,9.00
Bills,BUF,2,DT,551028185,Calijah Kancey,4,0,2275,94,10,35.00,0,1,0,0,0,0,10.50,0,0,14.00
Bills,BUF,2,CB,551026889,Jakorian Bennett,4,0,1421,23,4,8.00,0,3,0,1,0,0,0.00,0,1,2.00
Bills,BUF,2,MLB,551029105,Noah Sewell,4,0,2390,44,6,8.00,1,1,0,0,0,0,0.00,1,0,6.00
Bills,BUF,2,MLB,551029393,Channing Tindall,5,0,1986,41,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,DT,551029734,Devonte Wyatt,5,0,2059,91,4,16.00,0,2,0,1,0,0,2.50,0,1,5.00
