team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Patriots,NE,21,WR,551029171,Ainias Smith,3,0,10249,82,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,HB,551027236,Blake Corum,3,0,10043,22,6,9.60,34,4,0,21,1,1,51,133,8.50,3.91,15.13
Patriots,NE,21,QB,551028430,Drake Maye,3,9,10165,10,8,22.44,20,3,6,20,1,2,19,122,2.38,6.10,14.64
Patriots,NE,21,WR,551029667,Johnny Wilson,3,0,10301,89,2,7.50,1,2,0,0,0,0,1,-6,0.50,-6.00,-0.30
Patriots,NE,21,WR,551028795,Ricky Pearsall,3,0,10206,14,7,75.80,3,6,0,3,0,0,0,2,0.00,0.67,-0.04
Patriots,NE,21,WR,551028703,Rome Odunze,3,0,10199,15,6,15.30,4,7,0,5,0,0,-1,8,-0.17,2.00,0.38
Patriots,NE,21,QB,551028918,Spencer Rattler,3,0,10220,18,1,1.00,2,0,0,7,0,0,0,10,0.00,5.00,3.33
Patriots,NE,21,TE,551028100,Theo Johnson,3,11,10130,87,6,51.10,0,10,1,0,0,0,0,0,0.00,0.00,0.00
Patriots,NE,21,QB,551027915,Hendon Hooker,4,0,2581,2,7,-1.90,11,3,3,10,0,0,4,41,0.57,3.73,2.16
Raiders,LV,22,TE,551027233,Damien Carmichael,0,0,10354,89,8,29.60,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Raiders,LV,22,HB,551026724,Demario Harrison,0,0,3942,33,2,1.20,7,1,0,4,0,0,0,4,0.00,0.57,1.40
Raiders,LV,22,TE,551028341,Nick Arnold,2,0,3673,87,2,0.20,1,3,0,2,0,0,2,2,1.00,2.00,0.11
Raiders,LV,22,QB,551027239,Ryland McPherron,2,0,4204,17,5,16.18,8,1,2,6,0,0,0,22,0.00,2.75,2.86
Raiders,LV,22,HB,551028336,MarShawn Lloyd,3,0,10161,32,11,82.70,121,41,2,57,12,4,189,702,17.18,5.80,68.15
Raiders,LV,22,WR,551027577,Troy Franklin,3,3,10077,16,3,7.40,2,2,0,1,0,0,0,-2,0.00,-1.00,0.04
Raiders,LV,22,HB,551029418,Tyrone Tracy Jr,3,0,10268,38,10,33.30,53,21,2,25,3,1,82,193,8.20,3.64,9.13
Raiders,LV,22,WR,551027150,Ja'Marr Chase,6,0,1370,1,8,41.90,2,10,0,10,0,0,4,11,0.50,5.50,0.36
Raiders,LV,22,QB,551027526,Justin Fields,6,0,1366,2,10,49.30,37,4,0,40,5,1,20,123,2.00,3.32,10.18
Raiders,LV,22,WR,551027304,Gabe Davis,7,0,238,11,6,25.00,7,5,0,17,1,0,6,24,1.00,3.43,1.74
Raiders,LV,22,WR,551027601,Russell Gage Jr,9,0,9779,6,4,22.80,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,WR,551029855,Nick McClellan,0,0,3845,85,4,38.30,1,6,0,3,0,0,0,3,0.00,3.00,0.73
Rams,LAR,23,TE,551028529,Ross Norwood,0,0,3869,83,5,33.80,0,10,2,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,TE,551028088,Ben Thompson,1,0,3362,81,2,19.50,0,2,0,0,0,0,0,0,0.00,0.00,0.00
