id,gameId,league,homeTeam,awayTeam,awayScore,homeScore,isGameOfTheWeek,manual_gotw,seasonIndex,stageIndex,weekIndex,status,simmed,scheduled_date_time,home_team_spread,away_team_spread
3099718,543031403,Magtus,Bills,Jaguars,13,20,False,False,0,1,2,3,False,,0.0,0.0
3099719,543031404,Magtus,Bengals,Commanders,31,7,False,False,0,1,2,2,False,,0.0,0.0
3099717,543031402,Magtus,Falcons,Chiefs,8,27,False,False,0,1,2,3,False,,0.0,0.0
3099705,543031390,Magtus,Browns,Giants,41,38,False,False,0,1,2,2,False,,0.0,0.0
3099707,543031392,Magtus,Colts,Bears,7,31,False,False,0,1,2,3,False,,0.0,0.0
3099713,543031398,Magtus,Seahawks,Dolphins,32,34,False,False,0,1,2,3,False,,0.0,0.0
3099715,543031400,Magtus,Rams,49ers,35,32,False,False,0,1,2,2,False,,0.0,0.0
3099714,543031399,Magtus,Cowboys,Ravens,42,17,False,False,0,1,2,2,False,,0.0,0.0
3099712,543031397,Magtus,Raiders,Panthers,32,49,False,False,0,1,2,3,False,,0.0,0.0
3099711,543031396,Magtus,Buccaneers,Broncos,57,24,False,False,0,1,2,2,False,,0.0,0.0
3099710,543031395,Magtus,Steelers,Chargers,37,35,False,False,0,1,2,2,False,,0.0,0.0
3099709,543031394,Magtus,Saints,Eagles,23,31,False,False,0,1,2,3,False,,0.0,0.0
3099708,543031393,Magtus,Vikings,Texans,31,19,False,False,0,1,2,2,False,,0.0,0.0
3099706,543031391,Magtus,Titans,Packers,31,14,False,False,0,1,2,2,False,,0.0,0.0
3119913,543031406,Magtus,Falcons,Saints,10,49,False,False,0,1,3,3,False,,0.0,0.0
3119912,543031405,Magtus,Giants,Cowboys,28,35,True,False,0,1,3,3,False,,0.0,0.0
3119923,543031416,Magtus,Raiders,Browns,28,31,False,False,0,1,3,3,False,,0.0,0.0
3119922,543031415,Magtus,49ers,Patriots,30,21,False,False,0,1,3,2,False,,0.0,0.0
3119921,543031414,Magtus,Cardinals,Commanders,17,24,False,False,0,1,3,3,False,,0.0,0.0
3119920,543031413,Magtus,Texans,Jaguars,48,42,False,False,0,1,3,2,False,,0.0,0.0
3119916,543031409,Magtus,Colts,Steelers,21,24,False,False,0,1,3,3,False,,0.0,0.0
3119915,543031408,Magtus,Packers,Vikings,26,12,False,False,0,1,3,2,False,,0.0,0.0
3119927,543031420,Magtus,Lions,Seahawks,42,10,False,False,0,1,3,2,False,,0.0,0.0
3119926,543031419,Magtus,Dolphins,Titans,29,32,False,False,0,1,3,3,False,,0.0,0.0
3119925,543031418,Magtus,Ravens,Bills,31,26,False,False,0,1,3,2,False,,0.0,0.0
3119924,543031417,Magtus,Chargers,Chiefs,49,31,False,False,0,1,3,2,False,,0.0,0.0
3119919,543031412,Magtus,Panthers,Bengals,14,28,False,False,0,1,3,3,False,,0.0,0.0
3119918,543031411,Magtus,Buccaneers,Eagles,35,31,False,False,0,1,3,2,False,,0.0,0.0
3119917,543031410,Magtus,Jets,Broncos,17,31,False,False,0,1,3,3,False,,0.0,0.0
3119914,543031407,Magtus,Bears,Rams,45,24,False,False,0,1,3,2,False,,0.0,0.0
3099721,543031422,Magtus,Vikings,Jets,14,11,False,False,0,1,4,2,False,,0.0,0.0
3099722,543031423,Magtus,Bears,Panthers,23,14,False,False,0,1,4,2,False,,0.0,0.0
3099723,543031424,Magtus,Bengals,Ravens,45,31,False,False,0,1,4,2,False,,0.0,0.0
3099724,543031425,Magtus,Patriots,Dolphins,15,17,False,False,0,1,4,3,False,,0.0,0.0
3099725,543031426,Magtus,Commanders,Browns,44,33,False,False,0,1,4,2,False,,0.0,0.0
3099726,543031427,Magtus,Jaguars,Colts,31,35,False,False,0,1,4,3,False,,0.0,0.0
3099727,543031428,Magtus,Texans,Bills,24,6,False,False,0,1,4,2,False,,0.0,0.0
3099729,543031430,Magtus,49ers,Cardinals,26,39,False,False,0,1,4,3,False,,0.0,0.0
3099728,543031429,Magtus,Broncos,Raiders,30,12,False,False,0,1,4,2,False,,0.0,0.0
3099733,543031434,Magtus,Chiefs,Saints,32,31,False,False,0,1,4,2,False,,0.0,0.0
3099732,543031433,Magtus,Steelers,Cowboys,46,20,False,False,0,1,4,2,False,,0.0,0.0
3099731,543031432,Magtus,Seahawks,Giants,23,41,False,False,0,1,4,3,False,,0.0,0.0
3099730,543031431,Magtus,Rams,Packers,21,38,False,False,0,1,4,3,False,,0.0,0.0
3099720,543031421,Magtus,Falcons,Buccaneers,47,44,True,False,0,1,4,2,False,,0.0,0.0
3099734,543031435,Magtus,Seahawks,49ers,33,27,True,False,0,1,5,2,False,,0.0,0.0
3099744,543031445,Magtus,Cowboys,Lions,26,12,False,False,0,1,5,2,False,,0.0,0.0
3099746,543031447,Magtus,Giants,Bengals,24,21,False,False,0,1,5,2,False,,0.0,0.0
3099745,543031446,Magtus,Panthers,Falcons,42,52,False,False,0,1,5,3,False,,0.0,0.0
3099747,543031448,Magtus,Jets,Bills,55,24,False,False,0,1,5,2,False,,0.0,0.0
3099741,543031442,Magtus,Ravens,Commanders,14,29,False,False,0,1,5,3,False,,0.0,0.0
3099740,543031441,Magtus,Eagles,Browns,42,19,False,False,0,1,5,2,False,,0.0,0.0
3099737,543031438,Magtus,Titans,Colts,23,3,False,False,0,1,5,2,False,,0.0,0.0
3099742,543031443,Magtus,Broncos,Chargers,21,35,False,False,0,1,5,3,False,,0.0,0.0
3099743,543031444,Magtus,Raiders,Steelers,19,7,False,False,0,1,5,2,False,,0.0,0.0
3099739,543031440,Magtus,Saints,Buccaneers,23,33,False,False,0,1,5,3,False,,0.0,0.0
3099738,543031439,Magtus,Patriots,Texans,37,12,False,False,0,1,5,2,False,,0.0,0.0
3099736,543031437,Magtus,Packers,Cardinals,37,24,False,False,0,1,5,2,False,,0.0,0.0
3099735,543031436,Magtus,Bears,Jaguars,42,40,False,False,0,1,5,2,False,,0.0,0.0
3099761,543031462,Magtus,Buccaneers,Ravens,39,48,False,False,0,1,6,3,False,,0.0,0.0
3099748,543031449,Magtus,Saints,Broncos,29,27,True,False,0,1,6,2,False,,0.0,0.0
3099750,543031451,Magtus,Falcons,Seahawks,33,22,False,False,0,1,6,2,False,,0.0,0.0
3099752,543031453,Magtus,Browns,Bengals,20,42,False,False,0,1,6,3,False,,0.0,0.0
3099754,543031455,Magtus,Colts,Dolphins,27,38,False,False,0,1,6,3,False,,0.0,0.0
3099755,543031456,Magtus,Vikings,Lions,32,10,False,False,0,1,6,2,False,,0.0,0.0
3099756,543031457,Magtus,Giants,Eagles,17,28,False,False,0,1,6,3,False,,0.0,0.0
3099757,543031458,Magtus,Rams,Raiders,27,48,False,False,0,1,6,3,False,,0.0,0.0
3099749,543031450,Magtus,Jaguars,Patriots,14,42,False,False,0,1,6,3,False,,0.0,0.0
3099751,543031452,Magtus,Bills,Titans,0,45,False,False,0,1,6,3,False,,0.0,0.0
3099753,543031454,Magtus,Packers,Texans,35,24,False,False,0,1,6,2,False,,0.0,0.0
3099758,543031459,Magtus,Commanders,Panthers,19,20,False,False,0,1,6,3,False,,0.0,0.0
3099762,543031463,Magtus,Cardinals,Chargers,34,26,False,False,0,1,6,2,False,,0.0,0.0
3099759,543031460,Magtus,49ers,Chiefs,36,39,False,False,0,1,6,3,False,,0.0,0.0
3099760,543031461,Magtus,Steelers,Jets,24,14,False,False,0,1,6,2,False,,0.0,0.0
3099775,543031476,Magtus,Broncos,Panthers,0,30,False,False,0,1,7,3,False,,0.0,0.0
3099764,543031465,Magtus,Browns,Ravens,20,7,False,False,0,1,7,2,False,,0.0,0.0
3099765,543031466,Magtus,Lions,Titans,36,30,False,False,0,1,7,2,False,,0.0,0.0
3099777,543031478,Magtus,49ers,Cowboys,7,38,False,False,0,1,7,3,False,,0.0,0.0
3099774,543031475,Magtus,Bengals,Eagles,34,7,False,False,0,1,7,2,False,,0.0,0.0
3099768,543031469,Magtus,Buccaneers,Falcons,25,28,False,False,0,1,7,3,False,,0.0,0.0
3099767,543031468,Magtus,Patriots,Jets,24,31,False,False,0,1,7,3,False,,0.0,0.0
3099766,543031467,Magtus,Dolphins,Cardinals,21,24,False,False,0,1,7,3,False,,0.0,0.0
3099770,543031471,Magtus,Jaguars,Packers,24,30,False,False,0,1,7,3,False,,0.0,0.0
3099771,543031472,Magtus,Texans,Colts,27,30,False,False,0,1,7,3,False,,0.0,0.0
3099772,543031473,Magtus,Chargers,Saints,13,6,False,False,0,1,7,2,False,,0.0,0.0
3099776,543031477,Magtus,Raiders,Chiefs,17,23,False,False,0,1,7,3,False,,0.0,0.0
3099778,543031479,Magtus,Steelers,Giants,27,24,False,False,0,1,7,2,False,,0.0,0.0
3099769,543031470,Magtus,Commanders,Bears,34,30,False,False,0,1,7,2,False,,0.0,0.0
3099773,543031474,Magtus,Seahawks,Bills,44,6,False,False,0,1,7,2,False,,0.0,0.0
3099763,543031464,Magtus,Rams,Vikings,17,47,True,False,0,1,7,3,False,,0.0,0.0
3099783,543031484,Magtus,Browns,Chargers,26,20,False,False,0,1,8,2,False,,0.0,0.0
3099784,543031485,Magtus,Titans,Patriots,21,26,False,False,0,1,8,3,False,,0.0,0.0
3099786,543031487,Magtus,Giants,Commanders,7,14,False,False,0,1,8,3,False,,0.0,0.0
3099779,543031480,Magtus,Jets,Texans,31,15,True,False,0,1,8,2,False,,0.0,0.0
3099792,543031493,Magtus,Eagles,Jaguars,35,7,False,False,0,1,8,2,False,,0.0,0.0
3099781,543031482,Magtus,Bills,Dolphins,0,41,False,False,0,1,8,3,False,,0.0,0.0
3099793,543031494,Magtus,Chiefs,Buccaneers,32,28,False,False,0,1,8,2,False,,0.0,0.0
3099788,543031489,Magtus,Ravens,Broncos,38,17,False,False,0,1,8,2,False,,0.0,0.0
3099785,543031486,Magtus,Vikings,Colts,38,26,False,False,0,1,8,2,False,,0.0,0.0
3099780,543031481,Magtus,Falcons,Cowboys,31,28,False,False,0,1,8,2,False,,0.0,0.0
3099791,543031492,Magtus,Seahawks,Rams,19,15,False,False,0,1,8,2,False,,0.0,0.0
3099790,543031491,Magtus,Packers,Lions,31,45,False,False,0,1,8,3,False,,0.0,0.0
3099787,543031488,Magtus,Panthers,Saints,21,42,False,False,0,1,8,3,False,,0.0,0.0
3099789,543031490,Magtus,Cardinals,Bears,10,34,False,False,0,1,8,3,False,,0.0,0.0
3099782,543031483,Magtus,Bengals,Raiders,34,24,False,False,0,1,8,2,False,,0.0,0.0
3099823,543031508,Magtus,Rams,Dolphins,0,35,False,False,0,1,9,3,False,,0.0,0.0
3099810,543031495,Magtus,Ravens,Bengals,10,23,True,False,0,1,9,3,False,,0.0,0.0
3099811,543031496,Magtus,Panthers,Giants,49,41,False,False,0,1,9,2,False,,0.0,0.0
3099812,543031497,Magtus,Bears,Patriots,17,7,False,False,0,1,9,2,False,,0.0,0.0
3099813,543031498,Magtus,Colts,Bills,34,14,False,False,0,1,9,2,False,,0.0,0.0
3099814,543031499,Magtus,Chiefs,Broncos,24,21,False,False,0,1,9,2,False,,0.0,0.0
3099815,543031500,Magtus,Saints,Falcons,32,24,False,False,0,1,9,2,False,,0.0,0.0
3099816,543031501,Magtus,Buccaneers,49ers,40,17,False,False,0,1,9,2,False,,0.0,0.0
3099817,543031502,Magtus,Commanders,Steelers,37,35,False,False,0,1,9,2,False,,0.0,0.0
3099818,543031503,Magtus,Jaguars,Vikings,16,24,False,False,0,1,9,3,False,,0.0,0.0
3099819,543031504,Magtus,Chargers,Titans,21,45,False,False,0,1,9,3,False,,0.0,0.0
3099820,543031505,Magtus,Cowboys,Eagles,20,26,False,False,0,1,9,3,False,,0.0,0.0
3099821,543031506,Magtus,Cardinals,Jets,28,21,False,False,0,1,9,2,False,,0.0,0.0
3099822,543031507,Magtus,Texans,Lions,10,21,False,False,0,1,9,3,False,,0.0,0.0
3099835,543031520,Magtus,Chargers,Bengals,7,35,False,False,0,1,10,3,False,,0.0,0.0
3099831,543031516,Magtus,Steelers,Ravens,30,7,False,False,0,1,10,2,False,,0.0,0.0
3099827,543031512,Magtus,Titans,Vikings,31,10,False,False,0,1,10,2,False,,0.0,0.0
3099826,543031511,Magtus,Lions,Jaguars,24,16,False,False,0,1,10,2,False,,0.0,0.0
3099825,543031510,Magtus,Bears,Packers,24,17,False,False,0,1,10,2,False,,0.0,0.0
3099824,543031509,Magtus,Eagles,Commanders,30,24,True,False,0,1,10,2,False,,0.0,0.0
3099830,543031515,Magtus,Saints,Browns,24,27,False,False,0,1,10,3,False,,0.0,0.0
3099828,543031513,Magtus,Dolphins,Raiders,20,12,False,False,0,1,10,2,False,,0.0,0.0
3099832,543031517,Magtus,Broncos,Falcons,21,31,False,False,0,1,10,3,False,,0.0,0.0
3099833,543031518,Magtus,49ers,Seahawks,38,0,False,False,0,1,10,2,False,,0.0,0.0
3099834,543031519,Magtus,Bills,Chiefs,14,35,False,False,0,1,10,3,False,,0.0,0.0
3099836,543031521,Magtus,Jets,Colts,22,20,False,False,0,1,10,2,False,,0.0,0.0
